polymer, polymer  SMILES string,polymer MW (g/mol),polymer wt%,intrinsic viscosity (dl/g),polymer surface tension (mN/m),pore maker ,pore maker molecular weight (Da),pore maker wt% (pore maker weight to total weight),additive,additive wt% (additive weight to polymer),organic solvent,solubility parameter (MPa1/2),mean pore radius (nm),overall porosity (%),contact angle (degree)
Polyphenylsulfone,,53000-59000,15,,,none,,0,CuO/gC3N4,0.7,NMP,22.9,31,63.5,51
Polyphenylsulfone,,53000-59000,15,,,none,,0,CuO/gC3N4,1,NMP,22.9,26,60.6,48
Polysulfone,CC(C)(c1ccc(O)cc1)c2ccc(O)cc2.Oc3ccc(cc3)S(=O)(=O)c4ccc(O)cc4,,12,0.408,46.6,none,,0,none,0,NMP,22.9,7.94,61.2,78.6
Polysulfone,CC(C)(c1ccc(O)cc1)c2ccc(O)cc2.Oc3ccc(cc3)S(=O)(=O)c4ccc(O)cc4,,12,0.408,46.6,none,,0,hZIF-8,1,NMP,22.9,8.93,66.5,70.1
Polysulfone,CC(C)(c1ccc(O)cc1)c2ccc(O)cc2.Oc3ccc(cc3)S(=O)(=O)c4ccc(O)cc4,,12,0.408,46.6,none,,0,hZIF-8,2,NMP,22.9,10.11,71.4,62.4
Polysulfone,CC(C)(c1ccc(O)cc1)c2ccc(O)cc2.Oc3ccc(cc3)S(=O)(=O)c4ccc(O)cc4,,12,0.408,46.6,none,,0,hZIF-8,3,NMP,22.9,9.39,68.8,60.7
Polysulfone,CC(C)(c1ccc(O)cc1)c2ccc(O)cc2.Oc3ccc(cc3)S(=O)(=O)c4ccc(O)cc4,,12,0.408,46.6,none,,0,ZIF-8,2,NMP,22.9,7.8,59.2,79.8
Polyethersulfone,,,20,0.41,42,PVP,,1,MoS2,0,DMAc,22.7,11.2,44.4,69.2
Polyethersulfone,,,20,0.41,42,PVP,,1,MoS2,0.1,DMAc,22.7,12.8,51.7,68.1
Polyethersulfone,,,20,0.41,42,PVP,,1,MoS2,0.2,DMAc,22.7,15.2,59.1,64.9
